Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,No,Travel_Frequently,Sales,18,Doctor,Life Sciences,Medium,Male,High,3,Sales Executive,Low,Married,9069,1,No,22,Outstanding,Very High,Basic,9,3,2,9,8,1,8
35,No,Travel_Rarely,Research & Development,23,Master,Medical,High,Female,High,1,Laboratory Technician,Low,Married,4014,3,Yes,15,Excellent,High,Basic,4,3,3,2,2,2,2
31,No,Travel_Rarely,Research & Development,7,Master,Life Sciences,Very High,Male,High,2,Laboratory Technician,Very High,Divorced,5915,3,No,22,Outstanding,Very High,Basic,10,3,2,7,7,1,7
37,No,Travel_Rarely,Research & Development,1,Master,Life Sciences,Low,Male,Medium,2,Manufacturing Director,High,Divorced,5993,1,No,18,Excellent,High,Basic,7,2,4,7,5,0,7
32,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,Low,Male,High,2,Manufacturing Director,Very High,Married,6162,1,Yes,22,Outstanding,Medium,Basic,9,3,3,9,8,7,8
38,No,Travel_Frequently,Research & Development,29,Doctor,Life Sciences,Very High,Female,High,2,Laboratory Technician,Very High,Single,2406,1,No,11,Excellent,Very High,None,10,2,3,10,3,9,9
50,No,Travel_Rarely,Research & Development,7,College,Medical,Medium,Female,Medium,5,Research Director,High,Divorced,18740,5,Yes,12,Excellent,Very High,Basic,29,2,2,27,3,13,8
59,No,Travel_Rarely,Sales,25,Bachelor,Life Sciences,Low,Female,High,3,Sales Executive,Low,Single,7637,7,No,11,Excellent,Very High,None,28,3,2,21,16,7,9
36,No,Travel_Rarely,Research & Development,8,Bachelor,Technical Degree,High,Female,High,3,Healthcare Representative,High,Divorced,10096,1,No,13,Excellent,Medium,High,17,2,3,17,14,12,8
55,No,Travel_Rarely,Research & Development,8,Bachelor,Medical,Very High,Female,High,4,Manager,High,Divorced,14756,2,Yes,14,Excellent,High,High,21,2,3,5,0,0,2
36,No,Travel_Frequently,Research & Development,11,Bachelor,Life Sciences,Medium,Male,Medium,2,Manufacturing Director,Medium,Single,6499,1,No,13,Excellent,High,None,6,3,3,6,5,0,3
45,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,Medium,Male,High,3,Research Scientist,Low,Divorced,9724,2,No,17,Excellent,High,Basic,25,2,3,1,0,0,0
35,No,Travel_Frequently,Research & Development,1,Bachelor,Medical,Medium,Male,High,1,Research Scientist,Low,Married,2194,4,No,13,Excellent,Very High,Basic,5,2,2,3,2,1,2
36,Yes,Travel_Rarely,Research & Development,9,Bachelor,Medical,Very High,Male,Medium,1,Research Scientist,High,Married,3388,0,Yes,17,Excellent,Low,Basic,2,0,2,1,0,0,0
59,No,Travel_Frequently,Sales,1,Below College,Life Sciences,Low,Female,Medium,2,Sales Executive,High,Single,5473,7,No,11,Excellent,Very High,None,20,2,2,4,3,1,3
29,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,High,Male,High,1,Research Scientist,Medium,Married,2703,0,No,23,Outstanding,Very High,Basic,6,3,3,5,4,0,4
31,No,Travel_Rarely,Research & Development,1,Master,Medical,High,Male,High,1,Research Scientist,Medium,Single,2501,1,No,17,Excellent,Medium,None,1,4,3,1,1,1,0
32,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Medium,Male,High,2,Research Scientist,Medium,Married,6220,1,No,17,Excellent,Medium,Moderate,10,3,3,10,4,0,9
36,No,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,Medium,Female,Very High,1,Laboratory Technician,Very High,Married,3038,3,No,12,Excellent,Medium,None,5,3,3,1,0,0,0
31,No,Travel_Rarely,Research & Development,8,Master,Life Sciences,High,Female,High,2,Manufacturing Director,Very High,Single,4424,1,No,23,Outstanding,Very High,None,11,2,3,11,7,1,8
35,No,Travel_Rarely,Sales,1,Master,Marketing,High,Male,Medium,2,Sales Executive,Low,Single,4312,0,No,14,Excellent,Medium,None,16,2,3,15,13,2,8
45,No,Travel_Rarely,Research & Development,6,Master,Other,Very High,Male,High,3,Research Director,Low,Married,13245,4,Yes,14,Excellent,Medium,None,17,3,4,0,0,0,0
37,No,Travel_Rarely,Research & Development,7,Master,Medical,Low,Male,High,3,Research Director,High,Single,13664,4,No,13,Excellent,Low,None,16,3,4,5,2,0,2
46,No,Travel_Rarely,Human Resources,5,College,Medical,Medium,Male,High,2,Human Resources,Medium,Divorced,5021,8,Yes,22,Outstanding,Very High,Basic,16,2,3,4,2,0,2
30,No,Travel_Rarely,Research & Development,1,Below College,Life Sciences,Very High,Male,Medium,2,Laboratory Technician,Very High,Married,5126,1,Yes,12,Excellent,High,Moderate,10,1,2,10,8,3,0
35,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,Medium,Male,Medium,1,Research Scientist,High,Single,2859,1,No,18,Excellent,Low,None,6,3,3,6,4,0,4
55,No,Travel_Rarely,Sales,1,College,Life Sciences,Low,Male,High,3,Sales Executive,Very High,Married,10239,3,No,14,Excellent,Very High,Basic,24,4,3,1,0,1,0
38,No,Non-Travel,Research & Development,6,Bachelor,Medical,Medium,Female,Low,2,Research Scientist,Very High,Divorced,5329,7,Yes,12,Excellent,Very High,High,17,3,3,13,11,1,9
34,No,Travel_Rarely,Research & Development,1,College,Medical,Low,Male,High,2,Manufacturing Director,Medium,Married,4325,1,No,15,Excellent,High,None,5,2,3,5,2,1,3
56,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,Very High,Male,Low,3,Manufacturing Director,Very High,Single,7260,4,No,11,Excellent,Low,None,37,3,2,6,4,0,2
23,No,Travel_Rarely,Sales,2,Below College,Technical Degree,High,Male,High,1,Sales Representative,Low,Divorced,2322,3,No,13,Excellent,High,Basic,3,3,3,0,0,0,0
51,No,Travel_Rarely,Research & Development,9,Master,Life Sciences,Very High,Male,High,1,Laboratory Technician,Very High,Married,2075,3,No,23,Outstanding,Medium,Moderate,10,4,3,4,2,0,3
30,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,High,Male,Medium,2,Healthcare Representative,Very High,Married,4152,1,No,19,Excellent,Low,High,11,3,3,11,10,10,8
46,Yes,Travel_Rarely,Sales,9,College,Medical,High,Male,Medium,3,Sales Executive,Very High,Single,9619,1,No,16,Excellent,Very High,None,9,3,3,9,8,4,7
40,No,Travel_Frequently,Research & Development,1,Master,Life Sciences,High,Male,Medium,4,Healthcare Representative,Medium,Married,13503,1,No,22,Outstanding,Very High,Basic,22,3,2,22,3,11,11
51,No,Travel_Rarely,Sales,21,Master,Marketing,High,Male,High,2,Sales Executive,Very High,Single,5441,0,Yes,22,Outstanding,Very High,None,11,2,1,10,7,1,0
30,No,Travel_Rarely,Sales,4,College,Medical,High,Female,Medium,2,Sales Executive,Medium,Divorced,5209,1,Yes,12,Excellent,Medium,High,11,4,2,11,8,2,7
46,No,Travel_Frequently,Research & Development,1,Bachelor,Medical,High,Male,Medium,3,Healthcare Representative,Low,Married,10673,2,Yes,13,Excellent,High,Basic,21,5,2,10,9,9,5
32,No,Travel_Rarely,Sales,6,Master,Medical,Medium,Male,High,2,Sales Executive,High,Single,5010,1,No,16,Excellent,Low,None,12,0,3,11,8,5,7
54,No,Travel_Rarely,Research & Development,2,Master,Technical Degree,Low,Female,High,3,Research Director,High,Married,13549,9,No,12,Excellent,Low,Basic,16,5,1,4,3,0,3
24,No,Travel_Rarely,Sales,3,College,Other,Low,Female,High,2,Sales Executive,High,Married,4999,0,No,21,Outstanding,Low,Basic,4,2,2,3,2,0,2
28,No,Non-Travel,Sales,4,Bachelor,Medical,Medium,Male,High,2,Sales Executive,High,Married,4221,1,No,15,Excellent,Medium,None,5,3,4,5,4,0,4
58,No,Travel_Rarely,Sales,10,Master,Medical,Very High,Male,High,4,Sales Executive,High,Single,13872,0,No,13,Excellent,High,None,38,1,2,37,10,1,8
44,No,Non-Travel,Research & Development,23,Bachelor,Medical,Medium,Male,High,2,Laboratory Technician,Medium,Married,2042,4,No,12,Excellent,High,Basic,17,3,4,3,2,1,2
37,Yes,Travel_Rarely,Human Resources,6,Master,Human Resources,High,Male,High,1,Human Resources,Low,Divorced,2073,4,Yes,22,Outstanding,Very High,None,7,3,3,3,2,0,2
32,No,Travel_Rarely,Research & Development,1,Below College,Life Sciences,Very High,Male,High,1,Research Scientist,Low,Single,2956,1,No,13,Excellent,Very High,None,1,2,3,1,0,0,0
20,Yes,Travel_Frequently,Research & Development,6,Bachelor,Life Sciences,Very High,Female,Medium,1,Laboratory Technician,Very High,Single,2926,1,Yes,18,Excellent,Medium,None,1,5,3,1,0,1,0
34,No,Travel_Rarely,Research & Development,6,Master,Other,Low,Female,High,2,Research Scientist,High,Single,4809,1,No,14,Excellent,High,None,16,3,3,16,13,2,10
37,No,Non-Travel,Research & Development,2,College,Life Sciences,High,Male,Medium,2,Healthcare Representative,Very High,Divorced,5163,5,No,14,Excellent,Very High,Basic,17,2,4,1,0,0,0
59,No,Non-Travel,Human Resources,2,Master,Human Resources,High,Female,Medium,5,Manager,Very High,Married,18844,9,No,21,Outstanding,Very High,Basic,30,3,3,3,2,2,2
50,No,Travel_Frequently,Research & Development,1,Bachelor,Life Sciences,Low,Female,High,5,Research Director,Medium,Married,18172,3,Yes,19,Excellent,Low,None,28,1,2,8,3,0,7
25,Yes,Travel_Rarely,Sales,5,Bachelor,Marketing,High,Male,Medium,2,Sales Executive,High,Single,5744,1,Yes,11,Excellent,Very High,None,6,1,3,6,4,0,3
25,No,Travel_Rarely,Research & Development,7,Below College,Medical,Very High,Male,Medium,1,Research Scientist,Very High,Married,2889,1,No,11,Excellent,High,Moderate,2,2,3,2,2,2,1
22,No,Travel_Rarely,Research & Development,15,Bachelor,Medical,Medium,Female,High,1,Laboratory Technician,Very High,Single,2871,1,No,15,Excellent,High,None,1,5,3,0,0,0,0
51,No,Travel_Frequently,Research & Development,1,Master,Medical,Low,Female,Medium,3,Healthcare Representative,Low,Single,7484,3,No,20,Outstanding,High,None,23,1,2,13,12,12,8
34,Yes,Travel_Frequently,Research & Development,7,Bachelor,Life Sciences,Low,Male,Low,2,Laboratory Technician,High,Single,6074,1,Yes,24,Outstanding,Very High,None,9,3,3,9,7,0,6
54,No,Non-Travel,Human Resources,26,Bachelor,Human Resources,Very High,Female,Very High,4,Manager,Very High,Single,17328,2,Yes,12,Excellent,High,None,23,3,3,5,3,4,4
24,No,Travel_Rarely,Research & Development,18,Below College,Life Sciences,Medium,Male,High,1,Laboratory Technician,High,Married,2774,0,No,12,Excellent,High,Basic,6,2,3,5,3,1,2
34,No,Travel_Rarely,Research & Development,6,Master,Life Sciences,High,Female,Medium,2,Research Scientist,Medium,Divorced,4505,6,No,15,Excellent,High,Basic,12,3,3,1,0,0,0
37,No,Travel_Rarely,Sales,3,Bachelor,Life Sciences,High,Male,High,3,Sales Executive,Very High,Single,7428,2,No,12,Excellent,Low,None,12,3,3,5,3,1,3
34,No,Travel_Rarely,Research & Development,5,Bachelor,Medical,High,Female,Medium,3,Manager,Low,Single,11631,2,No,12,Excellent,Very High,None,14,6,3,11,10,5,8
36,No,Travel_Frequently,Sales,11,College,Technical Degree,Medium,Female,High,3,Sales Executive,Very High,Married,9738,0,No,14,Excellent,High,Basic,10,6,3,9,7,2,8
36,No,Travel_Rarely,Research & Development,3,College,Life Sciences,Low,Female,High,1,Laboratory Technician,Very High,Divorced,2835,5,No,22,Outstanding,Low,Basic,7,2,3,1,0,0,0
43,No,Travel_Frequently,Sales,26,College,Life Sciences,High,Male,High,4,Manager,Very High,Married,16959,1,Yes,12,Excellent,Very High,Moderate,25,3,4,25,12,4,12
30,No,Travel_Frequently,Research & Development,23,Bachelor,Life Sciences,Low,Male,Low,1,Research Scientist,High,Divorced,2613,1,No,25,Outstanding,High,High,10,2,2,10,7,0,9
33,No,Non-Travel,Sales,22,College,Marketing,High,Male,High,2,Sales Executive,Medium,Married,6146,0,No,13,Excellent,Low,Basic,8,2,4,7,7,0,7
56,Yes,Travel_Rarely,Research & Development,14,Master,Life Sciences,Medium,Female,High,1,Research Scientist,Medium,Married,4963,9,Yes,18,Excellent,Low,High,7,2,3,5,4,4,3
51,No,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,Low,Male,High,5,Research Director,High,Single,19537,7,No,13,Excellent,High,None,23,5,3,20,18,15,15
31,Yes,Travel_Rarely,Sales,6,Master,Life Sciences,Medium,Male,Low,2,Sales Executive,High,Married,6172,4,Yes,18,Excellent,Medium,None,12,3,2,7,7,7,7
26,No,Travel_Rarely,Research & Development,6,Bachelor,Other,High,Female,Medium,1,Research Scientist,Medium,Married,2368,1,No,19,Excellent,High,None,5,3,2,5,4,4,3
58,Yes,Travel_Rarely,Research & Development,23,Master,Medical,Very High,Female,High,3,Healthcare Representative,Very High,Married,10312,1,No,12,Excellent,Very High,Basic,40,3,2,40,10,15,6
19,Yes,Travel_Rarely,Sales,22,Below College,Marketing,Very High,Male,High,1,Sales Representative,High,Single,1675,1,Yes,19,Excellent,Very High,None,0,2,2,0,0,0,0
22,No,Travel_Rarely,Research & Development,2,Below College,Technical Degree,High,Male,High,1,Laboratory Technician,Very High,Married,2523,0,No,14,Excellent,High,Basic,3,2,3,2,1,2,1
49,No,Travel_Rarely,Research & Development,20,Master,Medical,High,Female,High,2,Manufacturing Director,Low,Married,6567,1,No,14,Excellent,High,None,16,2,2,15,11,5,11
43,No,Travel_Frequently,Research & Development,28,Bachelor,Medical,Medium,Female,Very High,1,Research Scientist,High,Single,4739,4,No,12,Excellent,Very High,None,18,2,3,3,2,1,2
50,No,Travel_Frequently,Sales,12,Bachelor,Marketing,High,Female,High,3,Sales Executive,Very High,Single,9208,4,No,11,Excellent,Very High,None,16,3,3,2,2,2,1
31,Yes,Travel_Rarely,Sales,20,Bachelor,Life Sciences,Medium,Female,Low,2,Sales Executive,High,Married,4559,3,Yes,11,Excellent,High,Basic,4,2,3,2,2,2,2
41,No,Travel_Rarely,Sales,9,Below College,Life Sciences,High,Male,High,3,Sales Executive,High,Divorced,8189,3,Yes,13,Excellent,High,Basic,12,2,3,9,7,0,7
26,No,Travel_Rarely,Human Resources,25,Below College,Life Sciences,High,Female,High,1,Human Resources,High,Married,2942,1,No,23,Outstanding,Very High,Basic,8,3,3,8,7,5,7
36,No,Travel_Rarely,Research & Development,6,College,Medical,Medium,Male,High,2,Manufacturing Director,Medium,Divorced,4941,6,No,20,Outstanding,Very High,Moderate,7,0,3,3,2,0,1
51,Yes,Travel_Frequently,Research & Development,8,Master,Life Sciences,Low,Male,Low,3,Manufacturing Director,Very High,Single,10650,2,No,15,Excellent,Very High,None,18,2,3,4,2,0,3
39,No,Travel_Rarely,Sales,4,Master,Life Sciences,Very High,Female,Medium,2,Sales Executive,High,Married,5902,4,No,14,Excellent,High,Basic,17,1,4,15,11,5,9
25,No,Travel_Rarely,Sales,28,Bachelor,Life Sciences,Low,Male,Medium,2,Sales Executive,High,Married,8639,2,No,18,Excellent,Very High,None,6,3,3,2,2,2,2
30,No,Travel_Rarely,Human Resources,9,Bachelor,Human Resources,High,Male,High,2,Human Resources,Very High,Married,6347,0,Yes,19,Excellent,Very High,None,12,2,1,11,9,4,7
32,Yes,Travel_Rarely,Research & Development,9,Bachelor,Medical,Low,Female,High,1,Laboratory Technician,Low,Single,4200,7,No,22,Outstanding,Low,None,10,2,4,5,4,0,4
45,No,Travel_Rarely,Research & Development,29,Bachelor,Medical,High,Male,High,1,Research Scientist,Very High,Single,3452,5,No,13,Excellent,Medium,None,9,2,2,6,5,0,3
38,No,Travel_Rarely,Research & Development,3,Doctor,Technical Degree,Very High,Female,High,2,Research Scientist,High,Single,4317,3,Yes,20,Outstanding,Medium,None,19,2,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,18,Bachelor,Life Sciences,Low,Female,High,1,Research Scientist,High,Single,2632,1,No,14,Excellent,High,None,5,4,2,5,4,0,4
32,No,Travel_Frequently,Sales,9,College,Medical,Very High,Male,Low,2,Sales Executive,Very High,Divorced,4668,0,No,17,Excellent,Very High,High,9,2,4,8,7,0,7
30,No,Travel_Rarely,Research & Development,5,Bachelor,Technical Degree,Very High,Female,High,1,Research Scientist,Low,Divorced,3204,5,No,14,Excellent,Very High,Basic,8,3,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,2,Below College,Medical,Medium,Male,Medium,1,Laboratory Technician,Very High,Single,2720,0,No,13,Excellent,Very High,None,6,3,3,5,3,1,2
41,No,Travel_Frequently,Research & Development,10,Bachelor,Life Sciences,Very High,Male,Medium,4,Manager,Low,Divorced,17181,4,No,13,Excellent,Medium,Basic,21,2,2,7,6,7,7
41,No,Travel_Rarely,Research & Development,9,Master,Life Sciences,High,Male,High,1,Laboratory Technician,Low,Married,2238,2,No,21,Outstanding,Very High,Basic,7,2,3,5,0,1,4
